SaleID,OrderDate,ProductID,CustomerID,Region,Quantity,UnitPrice,Discount,TotalAmount,TotalCost,Profit
1,2024-07-29,1003,10119,North,2,1244.99,0.0,2489.98,1640.0,849.98
2,2024-03-24,1014,10060,South,2,447.12,0.0,894.24,560.0,334.24
3,2024-04-27,1001,10072,South,6,1292.23,0.0,7753.38,5400.0,2353.38
4,2024-12-15,1020,10038,South,3,29.03,0.1,78.38,30.0,48.38
5,2024-12-12,1016,10037,West,4,131.52,0.2,420.86,280.0,140.86
6,2024-05-23,1016,10026,East,1,128.04,0.05,121.64,70.0,51.64
7,2024-10-13,1013,10036,West,8,380.51,0.05,2891.88,2000.0,891.88
8,2024-10-09,1015,10064,Central,7,142.19,0.0,995.33,560.0,435.33
9,2024-07-05,1024,10108,South,3,51.37,0.0,154.11,60.0,94.11
10,2024-10-18,1013,10065,West,6,392.28,0.0,2353.68,1500.0,853.68
11,2024-12-08,1007,10027,North,5,28.13,0.2,112.52,50.0,62.52
12,2024-11-06,1018,10018,East,1,73.89,0.0,73.89,30.0,43.89
13,2024-08-17,1008,10114,South,7,121.16,0.2,678.5,420.0,258.5
14,2024-09-19,1022,10116,South,2,13.8,0.1,24.84,8.0,16.84
15,2024-11-23,1010,10144,North,1,191.77,0.0,191.77,110.0,81.77
16,2024-10-30,1006,10027,South,8,1039.45,0.1,7484.04,5200.0,2284.04
17,2024-12-18,1002,10138,South,1,957.74,0.0,957.74,700.0,257.74
18,2024-11-24,1008,10013,East,3,113.93,0.0,341.79,180.0,161.79
19,2024-02-07,1012,10128,North,7,262.19,0.2,1468.26,1050.0,418.26
20,2024-10-19,1002,10066,South,8,963.34,0.15,6550.71,5600.0,950.71
21,2024-03-18,1026,10056,East,6,76.26,0.15,388.93,210.0,178.93
22,2024-11-22,1014,10112,South,6,454.92,0.1,2456.57,1680.0,776.57
23,2024-03-03,1019,10074,West,3,19.2,0.05,54.72,15.0,39.72
24,2024-05-20,1002,10024,North,7,950.89,0.05,6323.42,4900.0,1423.42
25,2024-05-30,1009,10126,West,1,90.61,0.1,81.55,40.0,41.55
26,2024-12-16,1009,10040,East,2,84.32,0.05,160.21,80.0,80.21
27,2024-12-29,1016,10089,North,1,129.68,0.05,123.2,70.0,53.2
28,2024-08-13,1011,10103,West,4,191.41,0.0,765.64,440.0,325.64
29,2024-08-06,1006,10132,Central,1,1012.26,0.0,1012.26,650.0,362.26
30,2024-08-13,1018,10064,West,1,69.09,0.05,65.64,30.0,35.64
31,2024-09-21,1017,10056,North,2,57.98,0.05,110.16,50.0,60.16
32,2024-02-14,1010,10142,North,2,194.49,0.05,369.53,220.0,149.53
33,2024-05-23,1022,10129,East,1,14.02,0.2,11.22,4.0,7.22
34,2024-09-10,1004,10142,North,1,783.81,0.05,744.62,500.0,244.62
35,2024-04-30,1012,10008,East,1,252.6,0.0,252.6,150.0,102.6
36,2024-09-09,1021,10010,West,1,23.8,0.0,23.8,7.0,16.8
37,2024-12-09,1017,10022,North,3,60.28,0.05,171.8,75.0,96.8
38,2024-11-05,1012,10020,Central,2,248.0,0.05,471.2,300.0,171.2
39,2024-08-11,1003,10029,Central,5,1127.42,0.0,5637.1,4100.0,1537.1
40,2024-05-16,1001,10038,East,2,1345.49,0.0,2690.98,1800.0,890.98
41,2024-07-02,1016,10059,West,2,127.16,0.25,190.74,140.0,50.74
42,2024-02-24,1010,10067,East,2,213.39,0.0,426.78,220.0,206.78
43,2024-03-23,1010,10011,North,1,206.09,0.2,164.87,110.0,54.87
44,2024-12-31,1009,10037,North,1,87.42,0.0,87.42,40.0,47.42
45,2024-12-13,1004,10002,East,6,776.7,0.05,4427.19,3000.0,1427.19
46,2024-09-12,1013,10044,North,3,407.19,0.05,1160.49,750.0,410.49
47,2024-09-17,1009,10143,West,6,94.78,0.0,568.68,240.0,328.68
48,2024-05-17,1002,10107,West,3,969.75,0.05,2763.79,2100.0,663.79
49,2024-06-25,1024,10132,West,2,51.35,0.05,97.56,40.0,57.56
50,2024-04-18,1012,10036,South,8,266.88,0.15,1814.78,1200.0,614.78
51,2024-12-20,1006,10067,South,1,970.87,0.05,922.33,650.0,272.33
52,2024-11-17,1017,10098,West,6,61.66,0.0,369.96,150.0,219.96
53,2024-05-22,1021,10038,East,2,24.01,0.0,48.02,14.0,34.02
54,2024-06-15,1007,10131,South,5,29.49,0.0,147.45,50.0,97.45
55,2024-01-08,1024,10124,North,5,48.96,0.0,244.8,100.0,144.8
56,2024-05-12,1014,10002,Central,2,425.7,0.0,851.4,560.0,291.4
57,2024-05-11,1006,10024,North,1,974.12,0.05,925.41,650.0,275.41
58,2024-03-27,1017,10121,East,5,59.95,0.0,299.75,125.0,174.75
59,2024-12-12,1015,10066,North,4,154.16,0.0,616.64,320.0,296.64
60,2024-01-16,1024,10027,South,2,48.33,0.05,91.83,40.0,51.83
61,2024-08-21,1023,10120,Central,5,38.34,0.05,182.12,90.0,92.12
62,2024-07-04,1014,10132,North,3,466.69,0.05,1330.07,840.0,490.07
63,2024-06-28,1015,10094,West,4,158.36,0.0,633.44,320.0,313.44
64,2024-03-26,1005,10075,West,3,511.48,0.05,1457.72,840.0,617.72
65,2024-11-11,1018,10047,South,1,68.65,0.0,68.65,30.0,38.65
66,2024-06-02,1021,10117,East,1,24.48,0.05,23.26,7.0,16.26
67,2024-10-08,1026,10112,East,4,80.19,0.05,304.72,140.0,164.72
68,2024-05-30,1005,10044,West,8,509.0,0.05,3868.4,2240.0,1628.4
69,2024-12-11,1013,10005,North,5,411.39,0.0,2056.95,1250.0,806.95
70,2024-04-27,1026,10070,East,2,80.36,0.0,160.72,70.0,90.72
71,2024-11-22,1017,10089,South,6,62.49,0.0,374.94,150.0,224.94
72,2024-10-28,1008,10114,East,3,120.12,0.05,342.34,180.0,162.34
73,2024-12-02,1001,10104,West,3,1271.85,0.0,3815.55,2700.0,1115.55
74,2024-12-28,1026,10053,South,2,81.37,0.05,154.6,70.0,84.6
75,2024-08-27,1015,10011,South,4,149.45,0.0,597.8,320.0,277.8
76,2024-10-23,1021,10050,North,3,24.37,0.2,58.49,21.0,37.49
77,2024-08-24,1002,10073,East,7,1024.44,0.0,7171.08,4900.0,2271.08
78,2024-12-07,1014,10027,North,2,463.54,0.0,927.08,560.0,367.08
79,2024-09-12,1024,10143,North,3,46.53,0.0,139.59,60.0,79.59
80,2024-11-26,1015,10050,South,1,151.48,0.05,143.91,80.0,63.91
81,2024-05-11,1009,10035,West,5,87.39,0.0,436.95,200.0,236.95
82,2024-01-31,1007,10119,Central,8,28.97,0.1,208.58,80.0,128.58
83,2024-03-02,1003,10108,North,7,1073.15,0.0,7512.05,5740.0,1772.05
84,2024-09-26,1001,10148,East,3,1330.59,0.05,3792.18,2700.0,1092.18
85,2024-11-23,1008,10129,South,3,121.98,0.0,365.94,180.0,185.94
86,2024-05-03,1013,10001,West,2,411.6,0.2,658.56,500.0,158.56
87,2024-09-01,1023,10103,East,7,39.28,0.15,233.72,126.0,107.72
88,2024-08-08,1026,10025,East,1,76.68,0.0,76.68,35.0,41.68
89,2024-09-29,1003,10055,North,5,1092.34,0.0,5461.7,4100.0,1361.7
90,2024-04-28,1007,10097,South,3,29.88,0.0,89.64,30.0,59.64
91,2024-04-25,1001,10002,West,3,1331.45,0.05,3794.63,2700.0,1094.63
92,2024-11-08,1008,10080,East,3,119.21,0.0,357.63,180.0,177.63
93,2024-02-02,1016,10020,East,2,128.69,0.0,257.38,140.0,117.38
94,2024-10-11,1010,10143,North,3,205.0,0.0,615.0,330.0,285.0
95,2024-02-16,1020,10061,South,4,27.95,0.0,111.8,40.0,71.8
96,2024-03-04,1002,10038,North,7,987.18,0.05,6564.75,4900.0,1664.75
97,2024-05-03,1015,10141,South,2,155.16,0.05,294.8,160.0,134.8
98,2024-06-08,1026,10015,East,2,75.43,0.0,150.86,70.0,80.86
99,2024-12-28,1005,10088,East,1,511.18,0.15,434.5,280.0,154.5
100,2024-07-16,1025,10006,South,4,57.3,0.0,229.2,100.0,129.2
101,2024-07-07,1019,10114,West,6,18.69,0.05,106.53,30.0,76.53
102,2024-11-05,1008,10066,Central,3,118.38,0.0,355.14,180.0,175.14
103,2024-05-13,1010,10082,Central,1,200.88,0.0,200.88,110.0,90.88
104,2024-09-04,1003,10041,North,2,1152.58,0.05,2189.9,1640.0,549.9
105,2024-10-13,1016,10044,East,3,130.94,0.05,373.18,210.0,163.18
106,2024-11-28,1013,10049,East,1,407.34,0.05,386.97,250.0,136.97
107,2024-03-13,1004,10072,East,3,777.97,0.15,1983.82,1500.0,483.82
108,2024-09-27,1012,10098,Central,3,256.88,0.05,732.11,450.0,282.11
109,2024-01-04,1025,10026,North,2,58.54,0.05,111.23,50.0,61.23
110,2024-07-29,1025,10089,South,2,60.78,0.05,115.48,50.0,65.48
111,2024-06-14,1020,10044,North,4,28.71,0.05,109.1,40.0,69.1
112,2024-11-17,1004,10051,North,6,768.2,0.15,3917.82,3000.0,917.82
113,2024-10-22,1008,10051,East,1,117.37,0.15,99.76,60.0,39.76
114,2024-10-10,1014,10067,Central,6,462.99,0.1,2500.15,1680.0,820.15
115,2024-04-03,1004,10112,North,1,808.1,0.2,646.48,500.0,146.48
116,2024-05-28,1022,10050,North,3,14.2,0.0,42.6,12.0,30.6
117,2024-05-20,1017,10128,West,6,57.04,0.0,342.24,150.0,192.24
118,2024-04-13,1007,10070,Central,6,30.21,0.0,181.26,60.0,121.26
119,2024-07-05,1022,10076,North,5,14.23,0.1,64.04,20.0,44.04
120,2024-07-06,1017,10005,South,1,59.72,0.1,53.75,25.0,28.75
121,2024-06-11,1021,10039,East,2,23.75,0.0,47.5,14.0,33.5
122,2024-11-12,1015,10073,North,1,155.65,0.0,155.65,80.0,75.65
123,2024-10-10,1025,10150,North,3,56.43,0.0,169.29,75.0,94.29
124,2024-11-12,1022,10034,East,2,13.34,0.05,25.35,8.0,17.35
125,2024-11-15,1025,10074,East,6,57.92,0.0,347.52,150.0,197.52
126,2024-04-24,1024,10052,South,1,48.51,0.0,48.51,20.0,28.51
127,2024-12-19,1015,10128,East,5,149.01,0.15,633.29,400.0,233.29
128,2024-09-25,1022,10103,North,2,14.15,0.0,28.3,8.0,20.3
129,2024-11-13,1009,10035,East,6,91.76,0.0,550.56,240.0,310.56
130,2024-12-15,1003,10089,North,2,1151.72,0.05,2188.27,1640.0,548.27
131,2024-11-17,1011,10108,Central,2,196.25,0.15,333.62,220.0,113.62
132,2024-08-20,1003,10103,East,2,1141.97,0.15,1941.35,1640.0,301.35
133,2024-07-23,1005,10088,East,4,510.69,0.0,2042.76,1120.0,922.76
134,2024-08-16,1014,10138,West,3,441.92,0.0,1325.76,840.0,485.76
135,2024-12-03,1006,10138,North,7,996.34,0.1,6276.94,4550.0,1726.94
136,2024-02-13,1001,10140,Central,1,1278.97,0.0,1278.97,900.0,378.97
137,2024-06-23,1007,10134,East,8,29.5,0.0,236.0,80.0,156.0
138,2024-05-18,1013,10064,Central,1,406.43,0.15,345.47,250.0,95.47
139,2024-07-13,1011,10072,West,3,204.92,0.1,553.28,330.0,223.28
140,2024-09-06,1007,10137,West,1,28.91,0.0,28.91,10.0,18.91
141,2024-11-06,1017,10005,East,3,58.94,0.1,159.14,75.0,84.14
142,2024-01-06,1006,10106,North,4,966.32,0.05,3672.02,2600.0,1072.02
143,2024-07-08,1017,10142,West,3,56.18,0.0,168.54,75.0,93.54
144,2024-05-21,1005,10074,North,5,493.48,0.05,2344.03,1400.0,944.03
145,2024-10-26,1002,10120,East,4,992.35,0.05,3770.93,2800.0,970.93
146,2024-05-15,1008,10049,East,3,118.41,0.0,355.23,180.0,175.23
147,2024-04-30,1022,10147,West,7,14.43,0.05,95.96,28.0,67.96
148,2024-04-04,1018,10003,East,5,66.38,0.1,298.71,150.0,148.71
149,2024-07-31,1017,10062,North,7,56.2,0.05,373.73,175.0,198.73
150,2024-02-04,1002,10085,West,3,947.76,0.0,2843.28,2100.0,743.28
151,2024-10-12,1004,10037,South,7,789.35,0.1,4972.9,3500.0,1472.9
152,2024-12-05,1016,10122,West,1,135.12,0.1,121.61,70.0,51.61
153,2024-04-14,1016,10125,North,7,133.7,0.0,935.9,490.0,445.9
154,2024-07-28,1010,10068,West,3,205.27,0.0,615.81,330.0,285.81
155,2024-12-04,1024,10129,West,1,48.19,0.0,48.19,20.0,28.19
156,2024-11-27,1026,10119,North,5,76.22,0.1,342.99,175.0,167.99
157,2024-11-08,1004,10001,North,6,810.07,0.2,3888.34,3000.0,888.34
158,2024-04-10,1005,10083,North,3,524.66,0.0,1573.98,840.0,733.98
159,2024-07-10,1026,10107,North,2,78.57,0.0,157.14,70.0,87.14
